,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
118,teguldet,RU,57.3064,88.1667,3.81,95,52,2.51,broken clouds
119,leningradskiy,RU,69.3833,178.4167,-2.83,95,67,10.11,broken clouds
120,halifax,CA,44.6453,-63.5724,33.8,77,12,8.05,few clouds
121,arshan,RU,46.2732,44.22,53.98,66,20,15.66,few clouds
122,iqaluit,CA,63.7506,-68.5145,11.93,79,100,6.91,light snow
123,padang,ID,-0.9492,100.3543,82.45,87,98,5.3,light rain
124,san ignacio,BZ,17.1561,-89.0714,67.8,99,41,1.39,scattered clouds
125,aranos,NA,-24.1333,19.1167,88.99,9,58,2.44,broken clouds
126,geraldton,AU,-28.7667,114.6,64.81,48,75,19.57,broken clouds
127,mahebourg,MU,-20.4081,57.7,80.89,47,20,9.22,few clouds
128,monte alegre,BR,-2.0078,-54.0692,75.51,74,46,3.22,scattered clouds
129,inyonga,TZ,-6.7167,32.0667,79.41,54,98,4.09,light rain
130,qaanaaq,GL,77.484,-69.3632,-12.37,63,36,6.96,scattered clouds
131,mount gambier,AU,-37.8333,140.7667,58.08,80,100,4.45,light rain
132,bembereke,BJ,10.2283,2.6634,86.36,22,7,8.21,clear sky
133,margate,GB,51.3813,1.3862,48.9,83,86,1.99,overcast clouds
134,aksu,CN,41.1231,80.2644,47.34,23,29,2.35,scattered clouds
135,aykhal,RU,66.0,111.5,-16.73,94,94,12.82,overcast clouds
136,wuwei,CN,37.9281,102.6414,38.95,29,1,5.57,clear sky
137,deputatskiy,RU,69.3,139.9,-25.82,89,30,4.56,scattered clouds
138,comodoro rivadavia,AR,-45.8667,-67.5,64.26,48,0,6.91,clear sky
139,arraial do cabo,BR,-22.9661,-42.0278,66.16,88,40,0.0,scattered clouds
140,butaritari,KI,3.0707,172.7902,80.82,80,62,11.77,broken clouds
141,the valley,AI,18.217,-63.0578,80.1,70,2,18.86,clear sky
142,taranagar,IN,28.6709,75.0351,79.12,13,0,6.26,clear sky
143,chicama,PE,-7.8447,-79.1469,59.54,91,97,5.3,overcast clouds
144,kruisfontein,ZA,-34.0033,24.7314,67.41,58,100,11.97,overcast clouds
145,kodiak,US,57.79,-152.4072,42.31,93,100,6.91,overcast clouds
146,norman wells,CA,65.282,-126.8329,-3.96,84,20,2.3,few clouds
147,kargasok,RU,59.0556,80.8572,2.55,85,73,10.2,broken clouds
148,vangazi,LV,57.0936,24.5486,29.98,71,66,9.8,broken clouds
149,flin flon,CA,54.7682,-101.865,18.95,85,100,12.53,overcast clouds
150,pyatnitskoye,RU,50.4233,37.8273,27.75,90,99,9.73,overcast clouds
151,lagoa,PT,39.05,-27.9833,60.85,65,45,10.11,scattered clouds
152,kampene,CD,-3.6,26.6667,80.82,56,88,5.73,overcast clouds
153,klaksvik,FO,62.2266,-6.589,47.32,82,89,34.78,overcast clouds
154,vila,PT,42.0304,-8.1588,40.69,95,39,4.7,scattered clouds
155,kalmunai,LK,7.4167,81.8167,79.97,74,100,12.62,overcast clouds
156,rundu,NA,-17.9333,19.7667,97.32,14,0,6.58,clear sky
157,bridlington,GB,54.0831,-0.1919,49.89,90,100,5.01,overcast clouds
158,santiago,CL,-33.4569,-70.6483,66.85,66,0,6.91,clear sky
159,miri,MY,4.4148,114.0089,84.34,79,40,8.05,light rain
160,praia da vitoria,PT,38.7333,-27.0667,57.76,100,40,4.83,scattered clouds
161,shache,CN,38.4167,77.2406,52.38,13,83,3.71,broken clouds
162,mar del plata,AR,-38.0023,-57.5575,61.95,92,69,5.75,mist
163,boende,CD,-0.2167,20.8667,71.56,92,100,4.05,overcast clouds
164,porterville,US,36.0652,-119.0168,52.75,81,0,3.44,clear sky
165,marsa matruh,EG,31.3525,27.2453,75.4,23,1,21.85,clear sky
166,roald,NO,62.5833,6.1333,50.14,32,0,12.66,clear sky
167,pevek,RU,69.7008,170.3133,-14.82,98,95,1.61,overcast clouds
168,castro,BR,-24.7911,-50.0119,52.83,61,0,4.7,clear sky
169,saint-georges,GD,12.0564,-61.7485,78.48,83,20,11.5,few clouds
