,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,viedma,AR,67.69,heavy intensity rain,-40.8135,-62.9967,Hotel Cristal
225,victoria,HK,79.18,clear sky,22.2855,114.1577,Mini Central
226,newport,GB,52.09,broken clouds,51.5877,-2.9984,ibis budget Newport
227,mendi,PG,57.38,overcast clouds,-6.1761,143.6513,Kiburu Lodge
228,praia,CV,81.14,clear sky,14.9215,-23.5087,LT Aparthotel
229,yucaipa,US,55.4,clear sky,34.0336,-117.0431,Yucaipa Regional Park
230,quatre cocos,MU,80.71,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
231,chuy,UY,67.01,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
232,valdemarpils,LV,32.0,overcast clouds,57.3707,22.5919,Guest House Laumas
233,sidi ali,DZ,66.38,broken clouds,36.0998,0.4206,Khaled
234,kristinehamn,SE,34.36,broken clouds,59.3098,14.1081,Hotell Marieberg
235,elizabeth city,US,33.82,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
236,vardo,NO,33.78,few clouds,70.3705,31.1107,Wilhelmsen eiendom AS
237,dingle,PH,73.96,light rain,10.9995,122.6711,SEGAYA PROPERTY
238,baia de arama,RO,50.32,overcast clouds,45.0,22.8067,Casa Albă
239,te anau,NZ,55.8,overcast clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
240,dapaong,TG,86.36,overcast clouds,10.8639,0.205,Hotel Caroli
243,moree,AU,69.93,clear sky,-29.4667,149.85,Molika Springs Motel
244,los llanos de aridane,ES,67.12,light intensity drizzle,28.6585,-17.9182,Valle Aridane
246,cerrito,CO,53.65,overcast clouds,6.8432,-72.694,Yariseth juliana
247,koutiala,ML,83.73,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
248,faya,SA,73.51,clear sky,18.3851,42.4509,شيلة نسايم
249,nelson bay,AU,64.0,clear sky,-32.7167,152.15,Mantra Nelson Bay
250,yining,CN,57.47,overcast clouds,29.0361,114.5636,Xiushui Hotel
251,dibulla,CO,74.64,moderate rain,11.2725,-73.3091,Hospedaje Dibulla Beach
252,saint george,US,36.19,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
253,sandviken,SE,34.56,overcast clouds,60.6167,16.7667,Alséns Hotel
254,bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
256,hamilton,US,32.86,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
257,bowen,AU,78.64,scattered clouds,-20.0167,148.2333,Castle Motor Lodge Motel
258,esperance,AU,56.28,broken clouds,-33.8667,121.9,Hospitality Esperance
259,biltine,TD,88.29,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
